Month,,,,,,,,,,,,,,,,,,,,,,,,,
19/01/2019,National,Christian,Japanese,Sikh,Christian,Christian,Christian,Christian,Christian,Hindu,Christian,Christian,Hindu,Buddhist,Christian,Baha'i,Jewish,Buddhist,National,Zoro,,,,,
19/02/2019,Pagan,Christian,Japanese,Chinese,Buddhist,Buddhist,Hindu,Chinese,Buddhist,,,,,,,,,,,,,,,,
19/03/2019,Christian,National,Christian,Japanese,Hindu,Christian,Christian,Christian,Christian,Zoro,Christian,National,Japanese,Christian,Pagan,Baha'i,Buddhist,Hindu,Sikh,Jewish,Zoro,Zoro,Christian,Zoro,Christian
19/04/2019,Muslim,Chinese,Christian,Japanese,Buddhist,Sikh,Hindu,Christian,Christian,Jain,Christian,Christian,Hindu,Christian,Jewish,Muslim,Christian,Baha'i,Zoro,Christian,National,Christian,Pagan,,
19/05/2019,Pagan,Jewish,Muslim,Jewish,Christian,Buddhist,Jewish,Baha'i,Zoro,Muslim,Baha'i,Christian,,,,,,,,,,,,,
19/06/2019,Muslim,Christian,Chinese,Christian,Jewish,Christian,Christian,Sikh,Christian,Christian,Pagan,National,Christian,National,,,,,,,,,,,
19/07/2019,Zoro,Hindu,Buddhist,Zoro,Baha'i,Japanese,Buddhist,Zoro,Zoro,Rasta,,,,,,,,,,,,,,,
19/08/2019,Pagan,Muslim,Christian,Chinese,Zoro,Muslim,Jewish,Muslim,Muslim,Japanese,Hindu,Chinese,Christian,Christian,Zoro,Christian,Muslim,Hindu,Zoro,Jain,,,,,
19/09/2019,Christian,Muslim,Sikh,Hindu,Jain,Zoro,Muslim,Rasta,Chinese,Japanese,Pagan,Hindu,National,Jewish,,,,,,,,,,,
19/10/2019,Christian,Zoro,Hindu,Hindu,Chinese,Jewish,National,Jewish,Buddhist,Sikh,Jewish,Hindu,Sikh,Baha'i,Baha'i,Pagan,Pagan,,,,,,,,
19/11/2019,Christian,Christian,Rasta,Muslim,National,National,Buddhist,Buddhist,Sikh,Japanese,Sikh,Christian,National,,,,,,,,,,,,
19/12/2019,Christian,Buddhist,Christian,National,Pagan,Jewish,Christian,Christian,Zoro,Japanese,National,,,,,,,,,,,,,,
